amount;number;location1;location2;location3
2645;33;Épernay;Grand Est;France
25;2;Switzerland;Geneva
10;1;Cantin;Hauts-de-France;France
176;15
125;7;Rennes;Bretagne;France
1100;17;Auvergne-Rhône-Alpes;France;Saint-Clément-sur-Valsonne
2000;26;France;Île-de-France;Drancy
350;11;Fort-de-France;Martinique
3170;56;Meylan;Auvergne-Rhône-Alpes;France
8180;67;Colombes;Île-de-France;France
23650;499;France;La Boissière-du-Doré;Pays de la Loire
820;21;France;Nancy;Grand Est
960;28
710;17;Ris-Orangis;Île-de-France;France
180;4;Centre-Val de Loire;France
1160;43
90;4;Ivory Coast;Abidjan
900;11
1;1;Hauts-de-France;Courset;France
545;19
20;1;Roanne;Auvergne-Rhone-Alpes;France
1210;47;Cachan;Île-de-France;France
1852;86
240;9;Bruxelles;Ixelles;Belgique
90;5
70;2;Riantec;Brittany;France
3775;68
590;17;Montenois;Bourgogne-Franche-Comté;France
560;25;France;Grand Est;Chaumont
2330;44;Andernos-les-Bains;Nouvelle-Aquitaine;France
12050;175;France;Île-de-France;Paris
2040;55
14067;320;France;Hauts-de-France;Chantilly
290;3;Blotzheim;Grand Est;France
20;1;Tupigny;Hauts-de-France;France
600;13;Pontoise;Île-de-France;France
430;15;France;Fresnes-sur-Escaut;Hauts-de-France
80;1;Morocco;Casablanca-Settat;Casablanca
184;15;Hauts-de-France;Lallaing;France
770;15;Bruz;Bretagne;France
2197;166
275;20
120;7;France;Île-de-France;Mantes-la-Jolie
810;17;Auvergne-Rhône-Alpes;France
350;3;Colombes;Île-de-France;France
70;2
1159;25;Cairanne;Provence-Alpes-Côte d'Azur;France
380;8
905;32;France;Île-de-France;Paris
150;1;Ouagadougou;Centre;Burkina Faso
640;15;France;Île-de-France;Paris
500;8;France;Île-de-France;Paris
3120;62;France;Île-de-France;Mantes-la-Jolie
335;14;Suresnes;Île-de-France;France
810;28
300;7;France;Île-de-France;Paris
300;8;France;Provence-Alpes-Côte d'Azur;Jouques
1175;36
280;13;France
405;9;Île-de-France;Ozoir-la-Ferrière;France
2276;57;Saint-Denis;Île-de-France;France
70;3;France
200;9;Vincennes;Île-de-France;France
45;3;France;Nancy;Grand Est
10;1
1275;32;Drâa-Tafilalet;Tinghir;Maroc
395;10;Bali;Gianyar;Indonesia
30;2
65;4;France
